source_id,title,url,archive_url,publisher_or_platform,author_or_account,source_type,artifact_type,event_date,first_seen_date,claim_summary,entities,provenance_role,confidence,confidence_reason,accessed_at,notes
SRC-001,"Antivirus pioneer John McAfee found dead in Spanish prison","https://apnews.com/article/john-mcafee-dead-spain-prison-extradition-c39cc0f375a975946fb83b60cc2bf3d3","","AP News","AP staff","news","article","2021-06-23","2021-06-23","Reports McAfee was found dead in Brians 2 prison after Spanish extradition approval.","John McAfee;Brians 2 prison;Spain;extradition","secondary","High","Established news report for death context; not evidence of any DMS release.","2026-05-24","Use for death-date and custody context only."
SRC-002,"A Spanish court rejects appeal to reopen the investigation into tycoon John McAfee's jail cell death","https://apnews.com/article/spain-mcafee-death-suicide-court-38bf1fd5725fc0548a9aac6ac1bd0fd0","","AP News","AP staff","news","article","2023-09-29","2023-09-29","Reports Spanish court rejected an appeal to reopen the death investigation.","John McAfee;Spanish court;death investigation","secondary","High","Established news report on later court disposition; not evidence of DMS authenticity.","2026-05-24","Use to separate official death-investigation outcome from DMS speculation."
SRC-003,"Autopsy shows John McAfee died by suicide in Spanish prison","https://www.euronews.com/2021/06/28/us-spain-usa-mcafee","","Euronews / Reuters","Reuters","news","article","2021-06-28","2021-06-28","Reports preliminary autopsy findings in McAfee death case.","John McAfee;autopsy;Spain","secondary","High","Reuters-syndicated reporting; supports death-investigation context only.","2026-05-24","Do not use as evidence for or against a technical DMS."
SRC-004,"John McAfee 'Q' Instagram Post Sparks Dead Man's Switch Conspiracy","https://www.newsweek.com/john-mcafee-suicide-q-instagram-dead-mans-switch-1603638","","Newsweek","Ewan Palmer","news","article","2021-06-24","2021-06-24","Reports the post-death Instagram Q post and prior McAfee DMS-like claims including 31+ terabytes and disappearance/arrest claims.","John McAfee;Instagram Q post;dead man's switch;31+ terabytes;WHACKD","secondary","Medium","Useful source for public claim chain; DMS mechanism and data cache remain unverified.","2026-05-24","Treat as reporting on claims and reactions, not authentication."
SRC-005,"McAfee's Q Post: Hack or Hoax?","https://www.misbar.com/amp/en/editorial/2021/06/29/mcafee%E2%80%99s-q-post-hack-or-hoax","","Misbar","Misbar editorial team","fact_check","article","2021-06-29","2021-06-29","Analyzes the Q post and surrounding hack/hoax claims after McAfee death.","John McAfee;Instagram Q post;QAnon;dead man's switch","secondary","Medium","Fact-checking source for uncertainty around Q-post provenance; no direct DMS proof.","2026-05-24","Use with Newsweek to mark Q-post DMS interpretation as weak."
SRC-006,"John McAfee Indicted for Tax Evasion","https://www.justice.gov/archives/opa/pr/john-mcafee-indicted-tax-evasion","","U.S. Department of Justice","Office of Public Affairs","official","article","2020-10-05","2020-10-05","Official DOJ announcement of McAfee tax-evasion indictment.","John McAfee;DOJ;tax evasion;Spain arrest","primary","High","Official source for legal timeline and arrest context.","2026-05-24","Public legal context only."
SRC-007,"John David McAfee And Executive Adviser Of His Cryptocurrency Team Indicted In Manhattan Federal Court","https://www.justice.gov/usao-sdny/pr/john-david-mcafee-and-executive-adviser-his-cryptocurrency-team-indicted-manhattan","","U.S. Department of Justice SDNY","U.S. Attorney's Office SDNY","official","article","2021-03-05","2021-03-05","Official DOJ SDNY announcement of crypto-related fraud and money-laundering charges.","John McAfee;Jimmy Watson;cryptocurrency;DOJ SDNY","primary","High","Official source for crypto legal timeline; not evidence of DMS or WHACKD puzzle.","2026-05-24","Use to contextualize McAfee crypto activity without inferring DMS linkage."
SRC-008,"Official WHACKD site","https://getwhackd.org/","","getwhackd.org","WHACKD site operator","website","website","2019-11-16","2026-05-24","Lists the official WHACKD contract address.","WHACKD;getwhackd.org;0xCF8335727B776d190f9D15a54E6B9B9348439eEE","primary","High","Public project site corroborates the official contract address; site operator identity not independently authenticated here.","2026-05-24","Use only for contract-address corroboration."
SRC-009,"WHACKD price and contract page","https://coinmarketcap.com/currencies/whackd/","","CoinMarketCap","CoinMarketCap","market_data","blockchain_contract","2019-11-16","2026-05-24","Lists WHACKD token metadata and contract address.","WHACKD;CoinMarketCap;0xCF8335727B776d190f9D15a54E6B9B9348439eEE","secondary","High","Independent market-data listing corroborates the official contract address.","2026-05-24","Use for corroboration only; market data is not DMS evidence."
SRC-010,"WHACKD token contract page","https://etherscan.io/token/0xcf8335727b776d190f9d15a54e6b9b9348439eee","","Etherscan","Etherscan","blockchain_explorer","blockchain_contract","2019-11-16","2026-05-24","Etherscan token page for official WHACKD contract.","WHACKD;Epstein;0xCF8335727B776d190f9D15a54E6B9B9348439eEE","primary","High","Public blockchain explorer for the official token contract and on-chain state.","2026-05-24","Accepted technical artifact source."
SRC-011,"WHACKD contract creation transaction","https://etherscan.io/tx/0x1bb323576cd7dcb12e9f8507a5e298a0136927a486f959e3984cb7cca21ed96b","","Etherscan","Etherscan","blockchain_explorer","blockchain_transaction","2019-11-16","2026-05-24","Shows the exact contract creation transaction for the official WHACKD/Epstein contract.","WHACKD;Epstein;0x1bb323576cd7dcb12e9f8507a5e298a0136927a486f959e3984cb7cca21ed96b;block 8943162","primary","High","Public blockchain explorer source for creation transaction and block context; direct RPC receipt check also returns status 0x1 and contractAddress 0xcf8335727b776d190f9d15a54e6b9b9348439eee.","2026-05-24","Accepted technical artifact source."
SRC-012,"WHACKD - Token analysis","https://snowkidind.medium.com/whackd-token-analysis-223fa0843f74","","Medium","Snowkid","community_analysis","article","2024-01-23","2024-01-23","Community analysis of WHACKD airdrops, liquidity, possible farmers, and inferred address labels.","WHACKD;Snowkid;airdrops;Uniswap;wallet labels","inference","Medium","Useful hypothesis source; address labels and motives require independent corroboration.","2026-05-24","Do not treat inferred McAfee allocation labels as proof."
SRC-013,"Whackd counter repository","https://github.com/Whackd/whackd-counter/","","GitHub","Whackd organization","technical_analysis","repository","2021-06-24","2026-05-24","Community code and discussion about WHACKD transfer counter behavior.","WHACKD;transfer counter;transferFrom;burn mechanic","inference","Medium","Useful for technical hypothesis framing; must be checked against contract source before decoding.","2026-05-24","Use to define counter caveat, not DMS provenance."
SRC-014,"Mysterious John McAfee Website Appears for Two Days, WHACKD Token Climbs Over 700%","https://news.bitcoin.com/mysterious-john-mcafee-website-appears-for-two-days-whackd-token-climbs-over-700/","","Bitcoin.com News","Bitcoin.com News","news","article","2021-06-26","2021-06-26","Reports britbonglogpost.com countdown, WHACKD link, and related speculation after McAfee death.","britbonglogpost.com;WHACKD;John McAfee;countdown","secondary","Medium","Confirms public circulation of the site and speculation; does not authenticate McAfee control.","2026-05-24","Use with RDAP and Wayback for site-existence chain."
SRC-015,"RDAP record for britbonglogpost.com","https://rdap.verisign.com/com/v1/domain/britbonglogpost.com","","Verisign RDAP","Verisign","domain_registry","domain_rdap","2021-06-24","2026-05-24","RDAP shows britbonglogpost.com registration on 2021-06-24T07:32:18Z with GoDaddy registrar.","britbonglogpost.com;GoDaddy;RDAP","primary","High","Registry record verifies registration timing; does not identify McAfee control.","2026-05-24","Critical for rejecting pre-death-control assumptions."
SRC-016,"Wayback capture of britbonglogpost.com","https://web.archive.org/web/20210624165522/https%3A//britbonglogpost.com/","https://web.archive.org/web/20210624165522/https%3A//britbonglogpost.com/","Internet Archive Wayback Machine","Internet Archive","archive","archive_capture","2021-06-24","2021-06-24","Archived capture of britbonglogpost.com after McAfee death reporting.","britbonglogpost.com;Wayback;countdown;WHACKD","primary","High","Public archive verifies that the site content existed at that capture time; attribution remains unverified.","2026-05-24","Accepted web artifact for provenance mapping, not proof of DMS authenticity."
SRC-017,"Image suggesting John McAfee stored files in collapsed condo is fake","https://www.politifact.com/factchecks/2021/jun/28/instagram-posts/image-suggesting-john-mcafee-stored-files-collapse/","","PolitiFact","Daniel Funke","fact_check","article","2021-06-28","2021-06-28","Debunks fabricated image claiming McAfee stored 31TB of files in the Surfside condo building before collapse.","John McAfee;Surfside;Champlain Towers;31TB;fake tweet","secondary","High","Fact-check identifies a known false lead that must be excluded from candidates.","2026-05-24","Rejected lead source."
SRC-018,"John McAfee Reveals Release of His New Ethereum Token 'Epstein Didn't Kill Himself'","https://cryptonews.net/news/other/241797/","","Cryptonews.net","Cryptonews.net aggregation","news","article","2019-11-11","2019-11-11","Reports McAfee's launch/promotion of WHACKD as an Ethereum token themed around Epstein.","John McAfee;WHACKD;Epstein Didn't Kill Himself;Ethereum token","secondary","Medium","Supports launch context; not direct on-chain proof and not DMS evidence.","2026-05-24","Use with Etherscan for launch context."
SRC-019,"John McAfee's WHACKD token articles and tokenomics discussion","https://beincrypto.com/peeved-after-tweet-suppression-john-mcafee-releases-epstein-didnt-kill-himself-token/","","BeInCrypto","BeInCrypto","news","article","2019-11-13","2019-11-13","Reports WHACKD token promotion and tokenomics around burn mechanics.","John McAfee;WHACKD;tokenomics;burn mechanic","secondary","Medium","Supports public launch/tokenomics context; technical facts require contract verification.","2026-05-24","Use only as secondary context."
SRC-020,"Swarm docs: chunk types","https://docs.ethswarm.org/docs/develop/tools-and-features/chunk-types/","","Ethereum Swarm Docs","Swarm documentation","documentation","documentation","2026-05-24","2026-05-24","Public documentation on Swarm content-addressed and single-owner chunk types.","Swarm;content-addressed chunk;single-owner chunk","primary","High","Primary technical reference for later Option 3 theories, not evidence of McAfee DMS.","2026-05-24","Reference only; not a candidate artifact."
SRC-021,"Swarm docs: feeds","https://docs.ethswarm.org/docs/develop/tools-and-features/feeds/","","Ethereum Swarm Docs","Swarm documentation","documentation","documentation","2026-05-24","2026-05-24","Public documentation on Swarm feeds, owner, topic, and update lookup concepts.","Swarm;feeds;owner;topic","primary","High","Primary technical reference for later Option 3 theories, not evidence of McAfee DMS.","2026-05-24","Reference only; not a candidate artifact."
SRC-022,"Bee JS docs: SOC and feeds","https://bee-js.ethswarm.org/docs/soc-and-feeds/","","Bee JS Docs","Bee JS documentation","documentation","documentation","2026-05-24","2026-05-24","Public Bee JS documentation for single-owner chunks and feed-related API concepts.","Bee JS;Swarm;SOC;feeds","primary","High","Primary technical reference for later Option 3 theories, not evidence of McAfee DMS.","2026-05-24","Reference only; not a candidate artifact."
SRC-023,"John McAfee's 2019 tweet goes viral after his death","https://www.firstpost.com/tech/news-analysis/john-mcafees-2019-tweet-goes-viral-after-his-death-if-i-suicide-myself-i-didnt-i-was-whackd-9750051.html","","Firstpost","Firstpost staff","news","article","2021-06-24","2021-06-24","Reports McAfee's 2019 'If I suicide myself' statement and WHACKD tattoo context after his death.","John McAfee;WHACKD;tattoo;suicide statement","secondary","Medium","Useful reporting of a public claim; not proof of murder or DMS activation.","2026-05-24","Use for claim provenance only."
